Rank,Page title,Views,Daily average,Assessment,Importance
51,Nuclear power by country,"40,471","1,305",List,Low
52,Nicole Hernandez Hammer,"40,434","1,304",C,Mid
53,Ice age,"40,182","1,296",B,High
54,Green Revolution,"39,874","1,286",B,Mid
55,Biogas,"39,520","1,274",C,High
56,Lamb and mutton,"38,996","1,257",C,Mid
57,Effects of climate change,"38,144","1,230",B,Top
58,Volcanic winter of 536,"37,903","1,222",Start,Mid
59,Hydraulic fracturing,"36,807","1,187",C,Low
60,Carbon footprint,"36,777","1,186",C,Top
61,Electric vehicle,"36,718","1,184",C,High
62,Geothermal energy,"35,772","1,153",B,High
63,El Niño,"35,385","1,141",C,High
64,Electricity generation,"35,365","1,140",C,High
65,Hydroelectricity,"34,976","1,128",C,Unknown
66,Little Ice Age,"34,045","1,098",B,Mid
67,Russia in the European energy sector,"33,500","1,080",Unknown,Unknown
68,Food security,"33,295","1,074",C,Mid
69,Peat,"32,906","1,061",C,High
70,Biomass,"32,067","1,034",C,High
71,Precipitation,"31,505","1,016",GA,High
72,Compressed natural gas,"31,346","1,011",C,Low
73,Beef,"31,295","1,009",B,High
74,Public transport,"31,135","1,004",B,Low
75,Tropics,"30,984",999,C,Mid
76,Greenpeace,"30,804",993,C,High
77,Truck,"30,076",970,C,Mid
78,Tropical cyclones and climate change,"29,781",960,C,High
79,Heat transfer,"29,069",937,C,Low
80,Hurricane Ida,"28,838",930,C,Low
81,2021 United Nations Climate Change Conference,"28,583",922,C,High
82,Carbon sink,"28,475",918,C,Top
83,La Niña,"28,449",917,C,Low
84,Solar power,"28,430",917,B,Top
85,Seagrass,"28,366",915,B,High
86,Petroleum industry,"27,816",897,C,High
87,Christiana Figueres,"27,634",891,C,High
88,Biofuel,"27,296",880,C,High
89,Photovoltaics,"27,024",871,B,Mid
90,Intergovernmental Panel on Climate Change,"26,937",868,B,High
91,Blast furnace,"26,906",867,B,Mid
92,Last Glacial Period,"26,811",864,B,Mid
93,Albedo,"26,806",864,B,High
94,Global catastrophic risk,"26,795",864,B,Mid
95,2019–20 Australian bushfire season,"26,578",857,C,Mid
96,United Nations Framework Convention on Climate Change,"26,228",846,C,High
97,Oil sands,"26,218",845,B,Low
98,2020 Russia–Saudi Arabia oil price war,"26,030",839,B,Low
99,Desertification,"25,845",833,C,High
100,Anthropocene,"25,372",818,B,Low
101,Environmental protection,"24,990",806,C,High
102,Greenhouse gas emissions,"24,861",801,C,Top
103,Climate Pledge Arena,"24,748",798,C,Low
104,Portland cement,"24,744",798,B,High
105,Cloud,"24,604",793,GA,Mid
106,Sylvia Earle,"24,591",793,B,Mid
107,Glacier,"24,314",784,B,High
108,Cost of electricity by source,"23,305",751,C,Unknown
109,European emission standards,"23,177",747,B,Mid
110,Water scarcity,"23,005",742,B,High
111,Permafrost,"22,995",741,C,Mid
112,Steven Donziger,"22,459",724,C,Low
113,Carbon capture and storage,"22,412",722,C,High
114,Carbon cycle,"21,955",708,B,High
115,Green New Deal,"21,906",706,C,High
116,Peak oil,"21,393",690,C,High
117,Climate change mitigation,"21,368",689,C,Top
118,Gaia hypothesis,"20,412",658,C,Low
119,Build Back Better Plan,"20,033",646,C,High
120,Geothermal power,"19,712",635,C,Low
121,Sea level rise,"19,337",623,GA,Top
122,Earth Summit,"19,297",622,Start,Mid
123,Human overpopulation,"19,255",621,C,Mid
124,World energy supply and consumption,"19,251",621,C,Top
125,Non-renewable resource,"19,191",619,C,Low
126,Francis Galton,"19,097",616,B,Mid
127,Carbon neutrality,"19,008",613,C,Mid
128,Contrail,"18,890",609,C,Mid
129,Energy conservation,"18,833",607,B,Low
130,Electrical grid,"18,767",605,C,High
131,Doomer,"18,682",602,Start,Mid
132,Climate change in South Africa,"18,638",601,C,High
133,Hydrogen fuel,"18,461",595,Start,High
134,Sustainable agriculture,"18,001",580,C,Low
135,Light pollution,"17,806",574,C,Low
136,Farmer,"17,558",566,C,High
137,Ethanol fuel,"17,459",563,B,High
138,Hydrogen production,"17,227",555,C,Unknown
139,Subsistence agriculture,"17,056",550,C,Low
140,Boaty McBoatface,"16,893",544,C,Low
141,Global warming,"16,888",544,NA,NA
142,Oil reserves in Venezuela,"16,839",543,Start,Low
143,Paddy field,"16,711",539,C,Mid
144,An Inconvenient Truth,"16,401",529,GA,High
145,Aerosol,"16,327",526,C,High
146,International Day of Forests,"16,264",524,Start,Low
147,Plant-based diet,"16,137",520,C,Mid
148,Last Glacial Maximum,"15,646",504,C,Mid
149,Steelmaking,"15,623",503,Start,High
150,Milankovitch cycles,"15,505",500,C,Mid
151,Oil well,"15,456",498,C,Mid
152,Shale gas,"15,430",497,C,Mid
153,United Nations Climate Change conference,"15,423",497,C,Top
154,Carbon sequestration,"15,230",491,B,Top
155,Bushfires in Australia,"15,118",487,C,Mid
156,Green hydrogen,"15,032",484,C,Mid
157,Greenwashing,"14,950",482,C,Mid
158,Coal India,"14,852",479,Start,High
159,Rural development,"14,851",479,C,Low
160,Joseph Stiglitz,"14,822",478,B,Mid
161,Dairy farming,"14,808",477,B,Mid
162,Female education,"14,618",471,C,High
163,Carbon credit,"14,563",469,B,Mid
164,Photovoltaic system,"14,503",467,C,Mid
165,School Strike for Climate,"14,448",466,C,Mid
166,Syngas,"14,322",462,C,Low
167,Global warming potential,"14,251",459,C,High
168,Smart grid,"14,233",459,C,High
169,Ed Markey,"14,109",455,B,Low
170,Biodiversity loss,"14,075",454,C,Mid
171,Engineered wood,"14,004",451,C,Unknown
172,Refrigerant,"13,930",449,C,Low
173,Habitat destruction,"13,874",447,C,Low
174,Regenerative agriculture,"13,859",447,C,High
175,Slash-and-burn,"13,648",440,C,Low
176,"Ministry of Environment, Forest and Climate Change","13,375",431,Start,High
177,Cape Town water crisis,"13,356",430,B,Mid
178,Land degradation,"13,351",430,C,Mid
179,Extinction Rebellion,"13,230",426,B,Mid
180,Perovskite solar cell,"13,196",425,C,Mid
181,Biochar,"12,851",414,B,Mid
182,Carbon dioxide in Earth's atmosphere,"12,822",413,C,Mid
183,Hydrogen internal combustion engine vehicle,"12,810",413,C,Mid
184,Environmental issues in the Philippines,"12,806",413,C,Low
185,Urban heat island,"12,740",410,GA,Mid
186,Bret Stephens,"12,723",410,C,Low
187,Flexible-fuel vehicle,"12,679",409,C,High
188,Climate crisis,"12,532",404,C,High
189,Heat wave,"12,523",403,C,High
190,Snowball Earth,"12,521",403,B,Low
191,Common ethanol fuel mixtures,"12,490",402,B,Mid
192,Joseph Fourier,"12,419",400,C,High
193,Dairy,"12,400",400,B,High
194,Food loss and waste,"12,382",399,B,Low
195,European Green Deal,"12,345",398,C,High
196,Fly ash,"12,280",396,B,Low
197,Medieval Warm Period,"12,195",393,C,Mid
198,Representative Concentration Pathway,"12,146",391,Start,High
199,Cogeneration,"12,063",389,Start,Unknown
200,Hydrogen economy,"12,020",387,B,High
201,Synthetic fuel,"11,947",385,C,Low
202,Coal-fired power station,"11,867",382,C,Top
203,Levelized cost of energy,"11,835",381,Start,Low
204,Climate change denial,"11,804",380,C,High
205,Battery electric vehicle,"11,583",373,C,Mid
206,Climate of South Africa,"11,565",373,Start,Mid
207,2018–2021 Southern African drought,"11,485",370,C,Low
208,District heating,"11,461",369,B,Low
209,Fuel tax,"11,446",369,Start,Unknown
210,Thwaites Glacier,"11,421",368,C,Mid
211,Environmental impact of agriculture,"11,383",367,C,High
212,El Niño–Southern Oscillation,"11,352",366,C,High
213,Ecosia,"11,250",362,C,Low
214,Cirrus cloud,"11,107",358,FA,Mid
215,List of countries by carbon dioxide emissions,"11,082",357,List,Mid
216,Carbon tax,"10,863",350,C,Top
217,Climate of Antarctica,"10,862",350,C,High
218,History of the petroleum industry,"10,852",350,C,Mid
219,Deforestation of the Amazon rainforest,"10,784",347,C,High
220,Southwestern North American megadrought,"10,735",346,C,Low
221,Petroleum industry in Canada,"10,619",342,C,Low
222,Climate variability and change,"10,490",338,C,Top
223,Impact of the COVID-19 pandemic on the environment,"10,313",332,C,Low
224,The Ministry for the Future,"10,301",332,C,Mid
225,Carbon offset,"10,163",327,C,Top
226,Coral bleaching,"10,148",327,C,High
227,Atmospheric circulation,"10,112",326,Start,High
228,Tree planting,"10,108",326,C,Low
229,Afforestation,"10,104",325,Start,High
230,Water security,"10,029",323,C,Low
231,G8+5,"9,887",318,Start,Low
232,Petroleum industry in Nigeria,"9,858",318,C,High
233,African humid period,"9,844",317,GA,Unknown
234,Lapse rate,"9,786",315,C,Low
235,Political activities of the Koch brothers,"9,693",312,C,Mid
236,Green economy,"9,589",309,C,Low
237,Clean Air Act (United States),"9,519",307,Start,Unknown
238,No-till farming,"9,473",305,C,Mid
239,History of climate change science,"9,459",305,C,High
240,Electric aircraft,"9,458",305,C,Mid
241,Thermal insulation,"9,455",305,C,Low
242,Global warming controversy,"9,375",302,B,High
243,Flow battery,"9,346",301,C,Mid
244,2021 Western North America heat wave,"9,260",298,C,Low
245,Anti-nuclear movement,"9,239",298,B,Mid
246,Gasoline and diesel usage and pricing,"9,171",295,Start,High
247,Coal in India,"9,127",294,C,Top
248,Efficient energy use,"9,076",292,C,High
249,Energy industry,"9,012",290,C,High
250,Scientific consensus on climate change,"8,987",289,B,High
251,Solar water heating,"8,957",288,C,Low
252,Evapotranspiration,"8,863",285,C,Mid
253,Sierra Club,"8,834",284,B,Low
254,Team Trees,"8,800",283,Start,Mid
255,Precautionary principle,"8,735",281,C,High
256,Fossil fuel power station,"8,705",280,B,High
257,South Atlantic High,"8,638",278,Start,Low
258,Agroforestry,"8,637",278,C,Low
259,Meadow,"8,561",276,C,Low
260,Green computing,"8,530",275,B,Low
261,Direct reduced iron,"8,524",274,Start,Low
262,Environmental racism,"8,509",274,C,Mid
263,Extreme weather,"8,480",273,C,Mid
264,Beds Are Burning,"8,480",273,Start,Low
265,Our Common Future,"8,474",273,Start,Mid
266,Planetary boundaries,"8,458",272,B,Low
267,Economics of nuclear power plants,"8,449",272,C,High
268,Radiant energy,"8,445",272,C,Low
269,European Union Emissions Trading System,"8,354",269,C,High
270,Groundwater recharge,"8,289",267,C,Mid
271,Goyder's Line,"8,273",266,Start,Low
272,Flood control,"8,262",266,C,High
273,Extraction of petroleum,"8,233",265,Start,Mid
274,Protected area,"8,191",264,B,High
275,Indian rivers interlinking project,"8,180",263,C,Low
276,Sustainable Development Goal 13,"8,132",262,C,High
277,Climate engineering,"8,112",261,B,High
278,Sustainable tourism,"8,064",260,C,Low
279,Drax Power Station,"8,020",258,GA,Mid
280,Steven Chu,"7,999",258,C,Mid
281,Natural gas prices,"7,973",257,C,Mid
282,Waste-to-energy,"7,925",255,C,High
283,Methane clathrate,"7,890",254,C,High
284,Phase-out of fossil fuel vehicles,"7,780",250,C,High
285,Earth's energy budget,"7,743",249,C,High
286,Electrification,"7,723",249,B,Top
287,Heavy industry,"7,688",248,Start,High
288,Animal feed,"7,632",246,C,Low
289,Phil Jones (climatologist),"7,612",245,Start,Unknown
290,James Lovelock,"7,604",245,B,High
291,Reef burials,"7,603",245,C,Low
292,Central heating,"7,578",244,C,Low
293,IPCC Sixth Assessment Report,"7,567",244,Start,High
294,2021 European floods,"7,493",241,C,Low
295,Climate change adaptation,"7,470",240,C,Top
296,Emissions trading,"7,419",239,B,High
297,List of parties to the Paris Agreement,"7,418",239,List,High
298,Zero-energy building,"7,394",238,B,High
299,U.S. state and territory temperature extremes,"7,388",238,List,Mid
300,Timeline of glaciation,"7,371",237,Start,Unknown
301,Land use,"7,212",232,Start,Low
302,Bjørn Lomborg,"7,165",231,B,Mid
303,Photovoltaic power station,"7,145",230,C,Low
304,Polar climate,"7,132",230,C,Low
305,Carbon Disclosure Project,"7,052",227,Start,Low
306,Community-supported agriculture,"7,012",226,C,Low
307,2022 United Nations Climate Change Conference,"6,996",225,Stub,Top
308,Radiative forcing,"6,984",225,C,Mid
309,Reforestation,"6,932",223,C,Top
310,Pollutant,"6,923",223,C,Low
311,Coal gasification,"6,916",223,C,Low
312,Electricity sector in China,"6,905",222,C,High
313,Salt marsh,"6,897",222,B,Mid
314,Stratospheric aerosol injection,"6,787",218,C,High
315,Piers Corbyn,"6,768",218,C,Low
316,Climate change in India,"6,762",218,C,High
317,Climatology,"6,754",217,C,High
318,Speeches of Greta Thunberg,"6,740",217,List,Mid
319,Environmental impacts of lithium-ion batteries,"6,733",217,C,Mid
320,Solar thermal collector,"6,724",216,C,Unknown
321,2020 California wildfires,"6,720",216,C,Mid
322,Coastal erosion,"6,708",216,Start,Low
323,Polar ice cap,"6,703",216,C,Mid
324,Gas-fired power plant,"6,702",216,C,High
325,Laudato si',"6,691",215,C,Mid
326,Mire,"6,683",215,C,High
327,Greenland ice sheet,"6,631",213,B,High
328,List of countries by carbon dioxide emissions per capita,"6,627",213,List,Mid
329,Svante Arrhenius,"6,598",212,C,High
330,False balance,"6,589",212,C,Low
331,Energy policy of India,"6,579",212,C,Top
332,Isra Hirsi,"6,562",211,Start,Low
333,Polymer electrolyte membrane electrolysis,"6,527",210,C,Unknown
334,Paleocene–Eocene Thermal Maximum,"6,492",209,C,Low
335,Aviation biofuel,"6,431",207,Start,High
336,2019 Amazon rainforest wildfires,"6,408",206,C,Low
337,West Antarctic Ice Sheet,"6,406",206,C,High
338,Cowspiracy,"6,392",206,Start,Low
339,Gro Harlem Brundtland,"6,372",205,B,Low
340,2021 California wildfires,"6,348",204,C,Low
341,Climate of Italy,"6,341",204,C,Low
342,Global cooling,"6,288",202,B,Mid
343,Shared Socioeconomic Pathways,"6,252",201,Start,Low
344,Natural gas in the United States,"6,234",201,C,Low
345,Plug-in electric vehicle,"6,207",200,B,High
346,List of countries by forest area,"6,151",198,List,Unknown
347,List of coal-fired power stations in the United States,"6,151",198,List,Mid
348,Cold chain,"6,151",198,C,Mid
349,Bill McKibben,"6,125",197,C,High
350,Effects of the car on societies,"6,108",197,Start,Low
351,Alternative fuel,"6,100",196,C,Low
352,United States withdrawal from the Paris Agreement,"6,099",196,C,Mid
353,Next Generation EU,"6,088",196,B,Mid
354,Ouarzazate Solar Power Station,"6,074",195,Start,Low
355,Frequent-flyer program,"6,062",195,Start,Unknown
356,Green roof,"6,057",195,B,Mid
357,Carbon emission trading,"6,034",194,B,Top
358,Claudia Sheinbaum,"6,000",193,B,Low
359,Tipping points in the climate system,"5,943",191,C,Top
360,Carbon pricing in Canada,"5,939",191,C,Low
361,Maunder Minimum,"5,936",191,C,Low
362,Global temperature record,"5,886",189,C,High
363,Electric power industry,"5,846",188,C,Unknown
364,Luisa Neubauer,"5,839",188,Start,Low
365,Gas stove,"5,822",187,C,Low
366,Climate apocalypse,"5,806",187,C,High
367,100% renewable energy,"5,792",186,C,Mid
368,Sustainable Development Goal 14,"5,726",184,C,Low
369,Passive cooling,"5,726",184,C,Low
370,Coal liquefaction,"5,697",183,C,Low
371,Environmental effects of transport,"5,653",182,C,High
372,John Coleman (meteorologist),"5,636",181,Start,Unknown
373,Climate change in Africa,"5,630",181,B,High
374,Smallholding,"5,617",181,C,Low
375,Cross-laminated timber,"5,614",181,C,Unknown
376,Sustainable Development Goal 7,"5,611",181,C,High
377,Eastern Cape drought,"5,599",180,Start,Low
378,2015 United Nations Climate Change Conference,"5,587",180,B,Mid
379,Feed-in tariff,"5,566",179,C,Low
380,Before the Flood (film),"5,537",178,Start,Low
381,Resist (Midnight Oil album),"5,534",178,Start,Low
382,Droughts in California,"5,520",178,C,Mid
383,Family First Party,"5,486",176,B,Low
384,Atmospheric methane,"5,459",176,C,High
385,Carbon dioxide scrubber,"5,448",175,Start,High
386,Insects as food,"5,438",175,C,Mid
387,Wood industry,"5,434",175,C,Mid
388,Environmental impact of concrete,"5,428",175,C,High
389,Carbon dioxide removal,"5,404",174,B,High
390,Solid fuel,"5,394",174,Start,Low
391,Low-carbon economy,"5,353",172,C,High
392,Official development assistance,"5,326",171,C,Low
393,Sea surface temperature,"5,274",170,GA,Low
394,Renewable energy in Germany,"5,263",169,B,High
395,LOWERN,"5,187",167,Stub,Low
396,Sustainable transport,"5,174",166,B,High
397,Net metering,"5,173",166,C,Mid
398,Climate fiction,"5,125",165,C,High
399,Coal-seam fire,"5,118",165,C,Low
400,Kenneth Arrow,"5,106",164,C,Low
401,This Changes Everything (book),"5,103",164,Start,Mid
402,Arid,"5,101",164,Start,Mid
403,Peridotite,"5,062",163,C,Low
404,Insulate Britain protests,"5,035",162,C,Mid
405,Steven E. Koonin,"5,006",161,Start,Low
406,Ringed seal,"5,005",161,C,Low
407,Disaster risk reduction,"5,005",161,C,High
408,Amine gas treating,"5,000",161,C,Low
409,Overconsumption,"4,975",160,C,Low
410,Climate justice,"4,966",160,C,Top
411,Planet of the Humans,"4,938",159,C,Mid
412,Corporate average fuel economy,"4,906",158,C,Mid
413,Electric energy consumption,"4,906",158,B,High
414,Heartland Institute,"4,889",157,B,Mid
415,Agricultural subsidy,"4,860",156,C,High
416,Agrivoltaic,"4,846",156,C,High
417,Metal–air electrochemical cell,"4,841",156,C,High
418,Attribution of recent climate change,"4,816",155,B,High
419,Environmental effects of aviation,"4,805",155,C,High
420,Coal power in the United States,"4,799",154,Start,Mid
421,For Those That Wish to Exist,"4,765",153,Start,Low
422,List of international environmental agreements,"4,762",153,List,High
423,Trawling,"4,754",153,C,Low
424,Global warming conspiracy theory,"4,746",153,C,Unknown
425,Power-to-X,"4,730",152,C,Mid
426,Clean Development Mechanism,"4,714",152,C,Mid
427,Enhanced oil recovery,"4,705",151,C,Low
428,Copernicus Programme,"4,688",151,C,Low
429,Artificial photosynthesis,"4,680",150,C,Low
430,2022 California wildfires,"4,661",150,C,Low
431,Edward Norton Lorenz,"4,632",149,C,Mid
432,Paul VI Audience Hall,"4,625",149,Start,Low
433,Judith Curry,"4,617",148,B,Mid
434,Speleothem,"4,604",148,C,Mid
435,Greenhouse and icehouse Earth,"4,604",148,C,Unknown
436,Late Antique Little Ice Age,"4,582",147,Start,Mid
437,Energiewende,"4,547",146,C,Low
438,Seaweed farming,"4,495",145,B,Mid
439,2010s oil glut,"4,471",144,Start,Low
440,Runaway greenhouse effect,"4,468",144,B,Low
441,Tree plantation,"4,465",144,Start,Low
442,Effects of climate change on human health,"4,460",143,C,High
443,Clear-air turbulence,"4,425",142,C,Low
444,Paleoclimatology,"4,397",141,C,High
445,Forest Landscape Integrity Index,"4,367",140,Start,Low
446,Environmental impact of meat production,"4,362",140,C,High
447,Direct air capture,"4,361",140,C,Top
448,Geothermal heating,"4,347",140,C,High
449,Nuclear power debate,"4,346",140,C,Mid
450,Black carbon,"4,337",139,Start,Mid
451,Environmental migrant,"4,333",139,C,High
452,Green Climate Fund,"4,323",139,B,High
453,Miscanthus × giganteus,"4,317",139,Start,Low
454,Soil organic matter,"4,270",137,Start,High
455,David Attenborough: A Life on Our Planet,"4,265",137,C,Mid
456,Pleistocene Park,"4,264",137,C,Low
457,Syukuro Manabe,"4,255",137,C,High
458,Climate classification,"4,253",137,Stub,Low
459,Great Green Wall (China),"4,253",137,C,Mid
460,Ethanol fuel in Brazil,"4,211",135,B,High
461,Tonne of oil equivalent,"4,201",135,Start,Unknown
462,Hockey stick graph,"4,200",135,B,High
463,Hydrofluorocarbon,"4,171",134,Start,Low
464,Renewable energy in China,"4,168",134,C,Low
465,Solar geoengineering,"4,164",134,C,Mid
466,100-year flood,"4,157",134,C,Mid
467,Phenology,"4,156",134,C,Mid
468,Restoration ecology,"4,148",133,B,Mid
469,Green Belt Movement,"4,141",133,C,Low
470,Eamon Ryan,"4,126",133,C,Low
471,Energy security,"4,113",132,C,Low
472,Coal in China,"4,100",132,C,Top
473,U.S. Special Presidential Envoy for Climate,"4,095",132,Stub,Low
474,Heat recovery steam generator,"4,086",131,Start,Unknown
475,Electricity market,"4,065",131,C,Mid
476,Climate of Asia,"4,063",131,C,Low
477,Energy transition,"4,059",130,Start,High
478,Climate change feedback,"4,054",130,C,High
479,Climate system,"4,011",129,GA,High
480,Environmental footprint of electric cars,"4,008",129,Start,Mid
481,Fred Singer,"4,002",129,C,Low
482,James Hansen,"4,001",129,B,High
483,The Energy and Resources Institute,"3,998",128,Start,Low
484,Coalbed methane,"3,980",128,C,Low
485,American Petroleum Institute,"3,963",127,C,Mid
486,Urban green space,"3,959",127,C,Low
487,Electrofuel,"3,947",127,Start,Unknown
488,Carmichael coal mine,"3,945",127,C,High
489,Extinction symbol,"3,934",126,Start,Low
490,Arctic sea ice decline,"3,909",126,C,High
491,Individual action on climate change,"3,909",126,Start,Mid
492,John Tyndall,"3,902",125,B,Mid
493,Fossil fuel phase-out,"3,899",125,C,Top
494,Reducing emissions from deforestation and forest degradation,"3,867",124,C,High
495,Shutdown of thermohaline circulation,"3,844",124,C,Mid
496,Climatic Research Unit email controversy,"3,843",123,B,Mid
497,Thacker Pass Lithium Mine,"3,838",123,C,Mid
498,Marine isotope stages,"3,832",123,C,Unknown
499,Sunrise Movement,"3,827",123,B,Mid
500,Environmental effects of shipping,"3,798",122,C,High
501,Conference of the parties,"3,792",122,Start,Mid
502,Building insulation,"3,774",121,C,Low
503,Central Organisation for Railway Electrification,"3,767",121,Start,Low
504,Herder–farmer conflicts in Nigeria,"3,765",121,C,Mid
505,Green bank,"3,755",121,C,Low
506,Shemara Wikramanayake,"3,724",120,C,Low
507,Wide area synchronous grid,"3,717",119,C,Unknown
508,Economic impacts of climate change,"3,708",119,C,High
509,Cement kiln,"3,692",119,C,Mid
510,Shale gas in the United States,"3,645",117,C,Low
511,Carbon-neutral fuel,"3,637",117,B,High
512,Proxy (climate),"3,636",117,C,High
513,Great Frost of 1709,"3,626",116,Start,Low
514,Climate change in China,"3,610",116,C,High
515,Allan Savory,"3,609",116,C,Low
516,8.2-kiloyear event,"3,609",116,C,Low
517,Life-cycle greenhouse gas emissions of energy sources,"3,605",116,C,High
518,Vaclav Smil,"3,597",116,C,Mid
519,Rewilding (conservation biology),"3,596",116,Start,High
520,Fatih Birol,"3,590",115,Start,High
521,Green infrastructure,"3,578",115,C,Mid
522,Climate change in Australia,"3,567",115,C,High
523,Congestion pricing,"3,561",114,C,Low
524,Top contributors to greenhouse gas emissions,"3,557",114,Start,High
525,Severn Cullis-Suzuki,"3,529",113,C,Low
526,Clean technology,"3,522",113,Start,High
527,Tim Flannery,"3,522",113,C,Low
528,Coastal GasLink Pipeline,"3,518",113,C,Mid
529,Merchants of Doubt,"3,517",113,GA,Mid
530,Deforestation and climate change,"3,470",111,C,Top
531,Xiuhtezcatl Martinez,"3,460",111,C,Low
532,Desert greening,"3,445",111,C,Low
533,Global dimming,"3,432",110,B,Mid
534,Carbon price,"3,395",109,C,Top
535,The Windup Girl,"3,395",109,Start,Low
536,Climate change in the United States,"3,391",109,C,High
537,Atlantic meridional overturning circulation,"3,384",109,C,High
538,Illegal logging,"3,378",108,Start,Low
539,ExxonMobil climate change controversy,"3,366",108,B,Mid
540,Klaus Hasselmann,"3,365",108,Start,Unknown
541,List of countries by greenhouse gas emissions,"3,365",108,List,High
542,Environmental impact of wind power,"3,351",108,B,Low
543,Expansion of Heathrow Airport,"3,343",107,B,Low
544,Tuoketuo Power Station,"3,324",107,Start,Unknown
545,Nationally determined contribution,"3,317",107,C,High
546,Methane emissions,"3,308",106,C,Top
547,Randy Weber,"3,298",106,Start,Low
548,Rainfed agriculture,"3,286",106,C,High
549,Climate change and agriculture,"3,279",105,NA,NA
550,Honda Civic GX,"3,269",105,Start,Low
551,Cellulosic ethanol,"3,268",105,C,Low
552,Water in California,"3,262",105,C,Low
553,Clathrate gun hypothesis,"3,255",105,C,Mid
554,Carbon accounting,"3,233",104,C,High
555,Environmental accounting,"3,220",103,Start,Low
556,Coal in Australia,"3,212",103,Start,Mid
557,Friends of the Earth,"3,211",103,Start,High
558,Voyage of Greta Thunberg,"3,207",103,C,Low
559,Temperature gradient,"3,183",102,Start,Unknown
560,Sponge city,"3,178",102,C,Low
561,Wera Hobhouse,"3,161",101,C,Low
562,Rooftop solar power,"3,151",101,C,Unknown
563,Renewable energy in the Philippines,"3,145",101,C,Low
564,Bioenergy with carbon capture and storage,"3,144",101,C,High
565,Keeling Curve,"3,122",100,C,High
566,Environmental impact of the petroleum industry,"3,107",100,Start,Low
567,List of Sustainable Development Goal targets and indicators,"3,098",99,List,Low
568,Stormwater,"3,098",99,C,Low
569,Ecological resilience,"3,089",99,C,Low
570,Sustainable management,"3,081",99,C,Low
571,Energy crop,"3,070",99,Start,Low
572,Desertec,"3,058",98,C,Low
573,Gina McCarthy,"3,054",98,Start,High
574,Biological pump,"3,045",98,B,High
575,Emission intensity,"3,044",98,C,Low
576,List of countries by greenhouse gas emissions per person,"3,042",98,List,High
577,Energy policy of China,"3,036",97,C,Top
578,Retreat of glaciers since 1850,"3,021",97,C,High
579,Bottom trawling,"3,004",96,B,Mid
580,"Temperature record of the last 2,000 years","2,997",96,C,High
581,Indian Ocean Dipole,"2,997",96,Start,Unknown
582,Oil well fire,"2,996",96,C,Mid
583,Climate change in Bangladesh,"2,993",96,C,High
584,Traditional ecological knowledge,"2,992",96,B,Mid
585,Fossil fuel exporters,"2,984",96,Start,Mid
586,Saltwater intrusion,"2,975",95,C,Low
587,Milutin Milanković,"2,969",95,B,Low
588,Coastal flooding,"2,962",95,C,Low
589,Blue carbon,"2,961",95,B,High
590,Hybrid power,"2,956",95,C,Low
591,Seven generation sustainability,"2,952",95,Start,Low
